Sample	Longitude	Latitude
SRR13628065	-90.72	79.41
SRR13628066	-113.37	52.94
SRR13727517	-113.6	52.68
SRR13727518	-112.76	52.33
SRR13727519	-110.46	49.99
SRR13727520	-112.84	50.85
SRR13727521	-114.92	52.27
SRR13727522	-114.56	51.92
SRR13727523	-110.63	54.49
SRR13727524	-111.45	57.24
SRR13727525	-111.93	57.04
SRR13727526	-111.33	55.45
SRR13727527	-111.08	55.62
SRR13727528	-113.24	51.19
SRR13727529	-111.85	56.98
SRR13727530	-110.81	54.58
SRR13727531	-115.59	53.36
SRR13727532	-113.48	54.3
SRR13727533	-113.08	49.99
SRR13727534	-115.37	51.11
SRR13727535	-115.37	51.11
SRR13727536	-110.17	51.41
SRR13727537	-111.32	52.68
SRR13727538	-111.38	52.65
SRR13727539	-110.61	52.42
SRR13727540	-112.95	51.3
SRR13727541	-114.42	51.29
SRR12152375	101.36	32.2
SRR12088346	-2.050427	40.546053
SRR6261451	10.52	46.2
SRR6943129	10.52	46.2
SRR7151612	19.0467	68.3534
SRR32314409	-100.540737	47.620146
ERR4193932	20.36125	67.92872222
ERR4193365	14.45888889	63.34916667
ERR3719138	8.578777	47.300659
ERR3719144	8.65	45.966667
ERR5863103	8.7	47.366667
ERR3719146	9.021579	46.009123
SRR23617163	29.8785	0.3758
SRR20698642	2.8869	45.499
SRR20698644	2.8869	45.499
SRR23006902	-58.9111	-62.185
SRR23006903	-58.9111	-62.185
SRR23006904	-58.9672	-62.1937
SRR23006905	-58.9211	-62.177
SRR11672838	-2.2146	57.1866
SRR11673296	-2.2146	57.1866
SRR11673299	-2.2146	57.1866
SRR18595301	-80.58	43.44
S37_T10SJ_2	133.516667	47.583333
S26_T10Mm_1	101.35	37.566667
S27_T10Mm_2	101.35	37.566667
S28_T10Mm_3	101.35	37.566667
S38_T10SJ_3	133.516667	47.583333
