	SJ10T	SJ15T	SJ20T	SJ25T
NuoA	0	0	0	0
NuoB	0	0	0	0
NuoC	0	0	0	0
NuoD	0	0	0	0
NuoE	0	0	0	0
NuoF	0	0	0	0
NuoG	0	0	0	0
NuoH	0	0	0	0
NuoI	0	0	0	0
NuoJ	0	0	0	0
NuoK	5.34972E-05	1.96322E-05	5.61329E-05	0
NuoL	0.0001997	5.97207E-05	0.000101248	0.000137877
NuoM	0.000245753	6.91049E-05	0.000310349	0.000137436
NuoN	0.000157712	5.78375E-05	0.000218621	9.27962E-05
nqrA	0	0	0	0
nqrB	0	0	0	0
nqrC	0	0	0	0
nqrD	0	0	0	0
nqrE	0	0	0	0
nqrF	0	0	0	0
petA	0.000640037	0.00062083	0.000802641	0.000551987
petB	0	0	0	0
petC	0	0	0	0
coxA	0.000218801	9.74443E-05	0.001770324	0.002005106
coxB	0.000382089	9.43419E-05	0.000240677	0.00024107
coxC	0.000244098	0.000108506	0.001801941	0.001372817
coxAC	0.000855166	0.000266244	0.000752973	0.000476982
cydA	0.001071772	0.000651436	0.000826685	0.000699456
cydB	0.000653582	0.000437253	0.000223283	0.000170207
cydX	0	0	0	0
ccoP	4.00135E-05	7.17986E-06	4.43936E-05	1.00839E-05
E1.11.1.5	0.001650558	0.001417184	0.000873051	0.000563103
COX11	5.25194E-05	2.27144E-05	0.00038278	0.000420416
ccoQ	0	0	0	0
atpB	0	0	0	0
atpF	0.00113626	0.00098003	0.001417166	0.001652882
atpE	0.000129244	8.07557E-05	0.000150385	0.000101551
atpH	0.0009094	0.000819535	0.000986555	0.001219768
atpI	0	0	0	0
epsilon	0	0	0	0
gamma	0	0	0	0
pmoA	1.52767E-05	1.06604E-05	2.62808E-05	5.03712E-06
pmoB	2.16906E-05	2.19086E-05	1.19528E-05	1.10899E-05
pmoC	2.92844E-05	4.08665E-05	2.2538E-05	5.71407E-05
xoxF	0.005154132	0.00492848	0.007175888	0.005354094
mxaA	7.99915E-05	9.38524E-05	6.686E-05	5.0073E-05
mxaC	6.00925E-06	9.44749E-06	0	3.0843E-05
mxaD	0	0	0	0
mxaJ	0.00018008	4.93506E-05	0.000234869	0.000195071
mxaK	3.37981E-06	6.3009E-06	0	1.08389E-05
mxaL	0	0	0	0
hps-phi	0	0	0	0
pgi	0.000388703	0.000279875	0.000359078	0.000537559
edd	0.000831248	0.00090659	0.000801738	0.001002844
zwf	0.000556255	0.000471175	0.000317551	0.00031647
eda	0.000250544	0.00022594	0.000253703	0.000236877
pgk	0	0	0	0
GAPDH	0.00172634	0.001557474	0.001729142	0.001780297
hxlA	0.005639101	0.004434628	0.007621871	0.006028849
fbaA	0.001331182	0.001285031	0.000860625	0.001087763
xfp	0.000736426	0.000525275	0.000490983	0.000505778
rpiA	3.59435E-05	1.52159E-05	7.74214E-05	7.307E-05
tktA	0.008492818	0.009235441	0.012038805	0.010682368
talA	0.002672227	0.002967237	0.005092702	0.004947764
fae	0.000602676	0.000450169	0.000307601	0.00031209
mtdB	0	0	0	0
mch	0.000393031	0.000413648	0.000310534	0.00040754
ftr	0	0	0	0
fwdABC	0.001581415	0.001870567	0.001349491	0.001411519
FDH	9.99739E-05	6.22837E-05	6.67359E-05	5.99985E-05
fdhF	0.008755673	0.009494684	0.004518731	0.003974814
fdsD	0	0	0	0
FdhD	0	0	0	0
MTHFS	0.000162253	0.000175256	8.31064E-05	0.000164586
purT	0	0	0	0
glyA	0.000203555	0.000137105	0.000149967	0.000192074
gpmI	0.000694177	0.001075728	0.000938696	0.001041866
eno	0	0	0	0
pyk	0	0	0	0
mdh	0	0	0	0
mtkAB	0.001677172	0.001755411	0.000878285	0.001086216
CS	0.001181798	0.00084948	0.000752403	0.000889347
ACO	0	0	0	0
acnB	0.000569891	0.001135421	0.000519871	0.000702578
IDH	0.000756706	0.000716701	0.00067616	0.000573456
OGDH	0.001258959	0.000708548	0.001040414	0.000850676
sucCD	0.001717658	0.001780945	0.001029385	0.001147984
sdhABCD	0.000302527	0.000262866	0.00020319	8.46088E-05
Fur	0.000126075	0.00020462	0.000158061	0.000126343
