	SJ10T	SJ15T	SJ20T	SJ25T
CspA	0.07696341	0.130514943	0.19344314	0.15427381
Hsp20	0.021193052	0.017169155	0.062004193	0.253523938
Hsp33	0	0	0	0
GroEL	0.089743451	0.20853385	0.109044519	0.194761021
GroES	0	0	0	0
DnaK	0.051846772	0.14528157	0.098392295	0.194024382
HTPX	0.061549109	0.057556077	0.054061281	0.092107612
YesN	0	0	0	0
RsaA	0.469414921	0.422238462	0.542091561	0.76415878
BapA	0	0	0	0
FtsH	0.087172474	0.189642516	0.074907239	0.077770134
HupB	0	0	0	0
GSR	0.003765486	0.00065503	0.002518243	0.000291506
CysI	0.008047264	0.005471688	0.005929525	0.007420156
CysJ	0.004543654	0.003769482	0.003665099	0.000676488
TrxA	0.004530764	0.009336075	0.012019369	0.013224534
TrxB	0	0	0	0
TrxC	0.002819229	0.007809757	0.005947445	0.012562752
SOD1	0	0	0	0
SOD2	0	0	0	0
WrbA	0.012153899	0.006429793	0.01918881	0.014094677
Qor	0.001727426	0.002140498	0.002390341	0.003225558
narG	0.085389244	0.135148292	0.084245237	0.088049799
narH	0.022312414	0.044354777	0.031263712	0.023672588
narI	0.005617445	0.013686035	0.008266219	0
NirB	0.00336148	0.013554413	0.010997281	0.029196047
NirD	0.001132452	0.003246106	0.000605037	0.005353416
NirK	0	0	0	0
EnvC	0	0	0	0
PilA	0.05514573	0.017908559	0.031792054	0.071792872
GlnA	0	0	0	0
GltB	0.006738529	0.005445461	0.139545465	0.205067344
gdhA	0	0	0	0
Lon	0.008688189	0.003835371	0.008731911	0.002155935
PYG	0.0125826	0.02065473	0.015028862	0.018448426
GlgC	0	0	0	0
TreZ	0.017004849	0.009170326	0.010821064	0.00792698
TreT	0.005986249	0.001127927	0.001507155	0.002375004
ThuE	0	0	0	0
ThuG	0	0	0	0
Lpp	0.427296495	0.309255262	0.613042476	1.021700908
ClpA	0.07936161	0.125143765	0.094122376	0.107661694
ClpS	0	0	0	0
NadA	0	0	0	0
tuf	0.095815011	0.167395915	0.127374285	0.126642263
