	TP10T	TP15T	TP20T	TP25T
NuoA	0.000464895	0.000362529	0.001063698	0.000827632
NuoB	0.001330979	0.000667131	0.002596377	0.00156737
NuoC	0.000757979	0.000605932	0.001165126	0.001051668
NuoD	0.000757979	0.000605932	0.001165126	0.001051668
NuoE	0.00061746	0.000427357	0.000320109	0.00044881
NuoF	0.000724037	0.000214173	0.000618787	0.000452163
NuoG	0.001734615	0.0006628	0.001748162	0.001589662
NuoH	0.000896122	0.000588286	0.001759346	0.001262692
NuoI	0.00048448	0.000289977	0.001165546	0.00073343
NuoJ	0.000581958	0.000297197	0.000832094	0.000715362
NuoK	0.000438407	0.000545829	0.001309481	0.000883409
NuoL	0.000810574	0.000476891	0.00096733	0.000746273
NuoM	0.000419824	0.000155225	0.000330704	0.00026986
NuoN	0.000465998	0.000120295	9.86E-05	4.44E-05
nqrA	0.000458421	0.000487407	0.000168498	0.000186765
nqrB	0.000336284	0.000401013	5.64E-05	7.00E-05
nqrC	0.000218192	0.000258043	0	0
nqrD	0.000214188	0.000239809	0.000321421	0.000214298
nqrE	0.000189592	0.000195121	0.000126481	8.00E-05
nqrF	0.000750843	0.000776905	0.000215192	0.000375784
petA	0.000492288	0.000489114	0.000323072	0.000589556
petB	0.000637626	0.000630511	0.000356289	0.000427207
petC	0.000273169	0.000185485	0.000180387	7.97E-05
coxA	0.000377991	0.000512742	0.000144388	8.18E-05
coxB	0.001166341	0.001001095	0.000516773	0.000474166
coxC	0.000460799	0.000457084	7.82E-05	6.24E-05
coxAC	0.000404486	0.000248104	0.0001261	9.05E-05
cydA	0.000318814	0.000195782	0.000488018	0.000207455
cydB	0.000192462	7.97E-05	0.000103219	0
cydX	0.000138796	6.90E-05	2.80E-05	4.95E-05
ccoP	0	0	0	0
E1.11.1.5	0.001567128	0.000868154	0.000157316	0.000182289
COX11	0.000118509	0.000118013	0	4.90E-05
ccoQ	0	0	0	0
atpB	0.000201706	0.000226052	3.61E-05	9.15E-06
atpF	0.000329601	0.000487342	0.000165702	9.66E-05
atpE	0.000437269	0.000369312	5.11E-05	4.95E-05
atpH	0.00020388	0.000355179	3.88E-05	1.22E-05
atpI	1.64E-05	8.42E-06	0	0
epsilon	0.000239579	0.000303197	0.000108526	9.43E-05
gamma	0.000257546	0.000231109	0	4.38E-05
pmoA	0.098527192	0.243914863	0.315198067	0.185852182
pmoB	2.99E-06	4.52E-06	0	0
pmoC	0.086376975	0.209493062	0.481123999	0.517156423
xoxF	0.004356256	0.004950294	0.005187436	0.004781763
mxaA	1.49E-06	8.25E-06	0	8.88E-05
mxaC	6.94E-07	1.45E-06	0	2.51E-05
mxaD	0.00019378	0.000132491	2.13E-05	2.49E-05
mxaJ	0.000219314	6.46E-05	1.11E-05	8.74E-06
mxaK	1.88E-06	3.61E-06	0	0
mxaL	1.54E-07	0	0	5.69E-05
phs-phi	0	0	0	0
pgi	0.000274568	0.000221735	2.76E-05	7.70E-05
edd	0.000471614	0.000527845	0.000177629	9.29E-05
zwf	0.000364182	0.000272499	4.48E-05	4.02E-05
eda	0.000185359	0.000132154	8.70E-05	6.66E-05
pgk	0.000345056	0.000396626	0.000833792	0.000905906
GAPDH	0.000575207	0.000511729	1.50E-05	7.21E-05
hxlA	0.002402673	0.00174795	0.000807501	0.00152003
fbaA	0.000554025	0.000663372	0.000275114	0.000706238
xfp	0.000827807	0.000621925	9.38E-05	0.000129375
rpiA	0.000255652	0.000115683	3.78E-05	2.08E-05
tktA	0.002991408	0.002984963	0.002149371	0.001884244
talA	0.000463148	0.000369866	5.80E-05	0.000166768
fae	0.002578204	0.004527639	0.010616284	0.009725326
mtdB	0.000634448	0.000405194	1.55E-05	1.75E-05
mch	6.78E-05	5.26E-05	1.05E-05	5.16E-05
ftr	0.000351043	0.000278787	0.000123938	0.000115479
fwdABC	0.000870655	0.000741551	0.000262543	0.000227092
FDH	0.001419752	0.000764562	0.000773082	0.000119194
fdhF	0.002848755	0.002558307	0.001628029	0.001522669
fdsD	6.44E-05	7.88E-05	0	0
FdhD	0.000371518	0.000316692	3.76E-05	9.13E-05
MTHFS	3.37E-05	4.16E-05	0	1.14E-05
purT	0.000238473	0.000161045	5.93E-05	7.30E-05
glyA	0.000188297	0.000118562	2.34E-05	7.42E-06
gpmI	0.000343868	0.000342732	0.000174038	0.000104155
eno	0.000200569	0.000303989	8.66E-05	3.10E-05
pyk	0.000434033	0.000408345	3.82E-05	3.26E-05
mdh	0.000360292	0.000214898	3.54E-05	3.32E-05
mtkAB	9.87E-05	0.000221688	2.18E-05	1.58E-05
CS	0.000225427	0.00017656	5.92E-05	4.10E-05
ACO	0.00094554	0.00129892	0.001053798	0.000543005
acnB	0.0003398	0.000566789	0.000326252	0.00047752
IDH	0.000562098	0.000352127	0.000142973	0.000146462
OGDH	0.000431668	0.000356934	0.000212583	0.000367843
sucCD	0.00060042	0.000704057	0.000491187	0.000500651
sdhABCD	0.000948774	0.000851239	0.000927741	0.000455898
Fur	0.000130202	0.000118955	0	3.13E-05
