	TP10T	TP15T	TP20T	TP25T
CspA	0.006245189	0.004315714	0.001293393	0.001000609
Hsp20	0.004345217	0.003521352	0.000988466	0.001694591
Hsp33	9.28816E-05	7.86059E-05	6.73883E-05	7.20905E-05
GroEL	0.000894024	0.003157865	0.002653088	0.005210062
GroES	0.001000891	0.001279214	0.000678579	0.000932734
DnaK	0.002061806	0.002819247	0.000476534	0.000633827
HTPX	0.002343654	0.004030441	0.000264091	0.000253781
YesN	0	0	0	0
RsaA	0	0	0	0
BapA	0.011474326	0.005141271	0.000126814	0.000497705
FtsH	0.007590794	0.008416005	0.00172772	0.001575931
HupB	0.001683582	0.000847047	0.000280479	0.000142548
GSR	0.000526363	0.000523972	0.001972931	0.001843638
CysI	0.000697883	0.000441349	4.00839E-05	2.89283E-05
CysJ	0.000423535	0.000201466	3.11819E-05	2.39692E-05
TrxA	0.000452533	0.000340996	4.2837E-05	0
TrxB	0.00030288	0.000107476	1.65153E-05	4.66137E-05
TrxC	7.10068E-05	0.000145322	4.2837E-05	0
SOD1	0	0	0	0
SOD2	0.000908191	0.00076044	0.000641852	0.000599465
WrbA	0.001094551	0.000812505	9.14523E-05	9.88349E-05
Qor	0.000780692	0.000686001	0.00027039	0.000391876
narG	0.030827686	0.022347579	0.01020506	0.014577639
narH	0.011813959	0.009114654	0.024430145	0.004616363
narI	0.006570428	0.005663678	0.003659629	0
NirB	0.000143855	0.000209049	3.25371E-05	9.60394E-05
NirD	4.14791E-05	6.75908E-05	1.18859E-05	0
NirK	0.00011164	6.34089E-05	2.02071E-05	3.5015E-05
EnvC	0.000579342	0.000425313	0.000290857	0.00032241
PilA	0.004226923	0.001529371	0.000918575	0.000907486
GlnA	0.001221794	0.000989712	0.001100715	0.000735091
GltB	0.000667292	0.001075505	0.000214037	0.000319804
gdhA	0	0	0	0
Lon	0.002060187	0.001067406	0.000837597	0.000468551
PYG	0.002701393	0.002727686	0.000206939	0.000172621
GlgC	0.000717092	0.000504544	5.07692E-05	5.09006E-05
TreZ	0.00081662	0.000454864	4.46288E-05	6.79539E-05
TreT	0	0	0	0
ThuE	0	0	0	0
ThuG	0	0	0	0
Lpp	0.010896008	0.013766299	0.021725655	0.017067822
ClpA	0.003268254	0.003745606	0.001367669	0.001545053
ClpS	0.000379133	0.000392674	0.000129468	0.000290676
NadA	0.000137535	0.000135513	4.30686E-05	3.59724E-05
tuf	0.000749459	0.000971963	4.67567E-05	2.10206E-05
