	TP10T	TP15T	TP20T	TP25T
NuoA	0	0.004086264	0.00490191	0.002705066
NuoB	0.007798633	0.012419846	0.017030626	0.012460083
NuoC	0	0	0	0
NuoD	0	0	0	0
NuoE	0	0	0	0
NuoF	0	0	0	0
NuoG	0	0	0	0
NuoH	0	0	0	0
NuoI	0	0	0	0
NuoJ	0	0	0	0
NuoK	0	0	0	0
NuoL	0	0	0	0
NuoM	0	0	0	0
NuoN	0.000963511	0.000968747	0.001388453	0.001496764
nqrA	0	0.000259546	5.82E-05	3.01E-05
nqrB	0.000391374	3.29E-05	0.000105376	0.00014508
nqrC	0	6.81E-05	0.000281604	0.000460276
nqrD	0.000160043	3.19E-05	0.00012009	0.000132346
nqrE	0	0.000140347	0.00022576	0.000349248
nqrF	0.000143824	3.10E-05	5.06E-05	0.000208602
petA	0	0.000789362	0.00128884	0.001224602
petB	0	0	6.09E-05	8.97E-05
petC	0	0.000249245	0.000553236	0.000637817
coxA	0.000499011	0.000780299	0.000286583	0.000204898
coxB	0.00136649	0.002773903	0.002067688	0.001154901
coxC	0.000542483	8.64E-05	5.85E-05	7.74E-05
coxAC	0.00260178	0.000712044	0.001681628	0.001742682
cydA	0	0	5.09E-05	2.60E-05
cydB	0	7.62E-05	2.70E-05	3.16E-05
cydX	0	0	0	0
ccoP	0	0	0	0
E1.11.1.5	0.000973828	0.00047347	0.000326412	0.001264266
COX11	0.001504549	0	7.66E-05	0.000106353
ccoQ	0	0	0.000156416	0.000166921
atpB	0	5.04E-05	6.51E-05	0.000159133
atpF	0	0.000531986	0.000115906	0.000179276
atpE	0	0	0.000125105	0.00021175
atpH	0	0	6.19E-05	0.000149313
atpI	0	0.000200661	9.19E-05	0.000188969
epsilon	0	0	0	0
gamma	0	0.000422331	0.000112977	0.000171239
pmoA	0	0	2.87E-05	2.63E-05
pmoB	7.16E-05	0	3.42E-05	2.80E-05
pmoC	0.001209818	3.99E-05	0	5.89E-05
xoxF	0.00386806	0.001746787	0.001479753	0.002023337
mxaA	0	0	0	0
mxaC	0	0	0	0
mxaD	0.000212236	0.000548684	0.000378638	0.000391982
mxaJ	0	8.43E-05	2.39E-05	9.64E-05
mxaK	0	0	0	0
mxaL	0	0	0	0
hps-phi	0	0.000676962	0.00031639	0.000374198
pgi	0.00051728	8.37E-05	0.0001249	0.000177151
edd	0	0.000176913	0.000427792	0.000473445
zwf	0.00241345	0.002721127	0.001347101	0.000705346
eda	0	8.25E-05	8.61E-05	0.000146941
pgk	0.00026904	0.001099793	0.000328264	0.000268381
GAPDH	0	0	0	0
hxlA	0.000671835	0.000625578	0.000738685	0.003168108
fbaA	0.000264543	0.000119296	9.28E-05	0.000147159
xfp	0.006723491	0.002197744	0.001319654	0.001386023
rpiA	0.000470702	0.000599311	0.000532892	0.00066191
tktA	0	0	0	1.11E-05
talA	0.00223715	0.003680909	0.002238945	0.002171125
fae	0.000373011	0.000347309	9.93E-05	6.33E-05
mtdB	0	0	4.81E-05	6.33E-05
mch	0	0	0	0
ftr	0	0	0	0
fwdABC	0	0	0	0
FDH	0.008294045	0.001462237	0.000623333	0.000277405
fdhF	0.000894109	0.003638273	0.001347156	0.001741795
fdsD	0	0	6.05E-05	8.92E-05
FdhD	0.000143499	0.000291931	0.000834061	0.000684135
MTHFS	0.000886567	0.000205631	6.75E-05	0.000128768
purT	0	0	0.000280807	0.000107046
glyA	0	0	0	0
gpmI	0	0.000492565	0.000686294	0.000657747
eno	0	0	0	0
pyk	0	0	0.000100534	0.000161218
mdh	0	0	0	0
mtkAB	0.002563574	0	6.94E-05	0.000131275
CS	0	7.50E-05	1.03E-05	1.10E-05
ACO	0	0	0	0
acnB	0.000445497	0.000131898	0.000770078	0.000971368
IDH	0.001504621	0.001976514	0.001128367	0.000655351
OGDH	0	0.000140433	0.000425636	0.000471158
sucCD	0.002855135	4.32E-05	0.000259307	0.000283693
sdhABCD	0	8.52E-05	0.000230407	0.000334421
Fur	0	0.000239073	0.000150047	0.000121432
