	TP10T	TP15T	TP20T	TP25T
CspA	0.001117691	0.000585357	0.000681321	0.000470603
Hsp20	0.002584699	0.008105233	0.010726899	0.01353718
Hsp33	0	3.15615E-05	6.48349E-05	5.88091E-06
GroEL	0.000688535	0.000586969	3.70266E-05	9.35697E-05
GroES	0	0	4.69455E-06	6.02648E-05
DnaK	0	0	0	0
HTPX	0.004878955	0.000572889	0.001541195	0.000506574
YesN	0.000635618	0.003311192	0.003420729	0.002747365
RsaA	0	0	0	0
BapA	0	0	0	0
FtsH	0.002808894	0.002068064	0.00220643	0.002000848
HupB	0.000989117	0.002359661	0.001880151	0.001244721
GSR	0	0	0	0
CysI	0	0.000643103	4.86577E-05	8.76066E-05
CysJ	0	0	0	0
TrxA	0.007153521	0.002541286	0.001411956	0.000889828
TrxB	0	0	0	3.30172E-06
TrxC	0	0	0	0
SOD1	0	0	2.24003E-06	5.04088E-06
SOD2	0	0	0	0
WrbA	0.000293477	0.00022077	4.66837E-05	5.99036E-05
Qor	0	0.000219312	0.000108039	4.19339E-05
narG	0	0	0	0
narH	0	0	0	0
narI	0	0	0	0
NirB	0.000278902	0.000144711	9.84713E-05	0.000313993
NirD	0	0	6.68132E-05	0.000163396
NirK	0	0	0	0
EnvC	0	0.000293882	0.000293719	0.000273017
PilA	0.003412479	0.000736141	0.001005066	0.002701322
GlnA	0.000446262	0.000354503	0.000814964	0.000840607
GltB	0	0	0	0
gdhA	0.005767096	0.008268607	0.005181375	0.003830686
Lon	0	0	0	0
PYG	0	0.00036464	0.000486561	0.000560052
GlgC	0.00031667	0	0	1.73198E-05
TreZ	0.001128457	0.001999641	0.001835625	0.001832633
TreT	0	0	0	0
ThuE	0	0	0	0
ThuG	0	8.80862E-05	0	0
Lpp	0	0	0	0
ClpA	0.002674196	0.008607221	0.006128638	0.005891115
ClpS	0.00078243	0.002160428	0.002527122	0.001778572
NadA	0.001493795	0.001212865	0.002750795	0.002302518
tuf	0	0.000356126	9.99563E-05	0.000137176
