	S36_T10SJ_1.R1	S37_T10SJ_2.R1	S38_T10SJ_3.R1	S31_T15SJ_1.R1	S32_T15SJ_2.R2	S33_T15SJ_3.R1	S16_T20SJ_1.R1	S17_T20SJ_2.R1	S18_T20SJ_3.R1	S11_T25SJ_1.R1	S12_T25SJ_2.R1	S13_T25SJ_3.R1	S26_T10Mm_1.R1	S27_T10Mm_2.R1	S28_T10Mm_3.R1	S21_T15Mm_1.R1	S22_T15Mm_2.R1	S23_T15Mm_3.R1	S6_T20Mm_1.R1	S7_T20Mm_2.R1	S8_T20Mm_3.R1	S1_T25Mm_1.R1	S2_T25Mm_2.R1	S3_T25Mm_3.R1	SJ.10T1-mRNA_1	SJ.10T2-mRNA_1	SJ.10T3-mRNA_1	SJ.15T1-mRNA_1	SJ.15T2-mRNA_1	SJ.15T3-mRNA_2	SJ.20T1-mRNA_1	SJ.20T2-mRNA_1	SJ.20T3-mRNA_1	SJ.25T1-mRNA_1	SJ.25T2-mRNA_1	SJ.25T3-mRNA_1	HB.10T1-mRNA_1	HB.10T2-mRNA_1	HB.10T3-mRNA_1	HB.15T1-mRNA_1	HB.15T2-mRNA_1	HB.15T3-mRNA_1	HB.20T1-mRNA_1	HB.20T2-mRNA_1	HB.20T3-mRNA_1	HB.25T1-mRNA_1	HB.25T2-mRNA_1	HB.25T3-mRNA_1
S22_bin.4	0.00785303	0.010692232	0.005013827	0	0	0	0	0	0	0	0	0	1.9782369	1.7046497	2.7075405	0.30142143	0.7435966	0.27724874	0	0	0	0	0	0	0.03365194	0	0	0	0	0	0	0	0	0	0	0	4.3521204	11.67168	8.0119002	0.3563372	0.5995559	1.0689908	0	0	0	0	0	0
S38-semi25	1.2423947	1.3322375	1.1525519	0.53556293	0.575676885	0.61579084	0.15223722	0.2633432	0.26929653	0.12805827	0.23802719	0.25806585	0	0	0	0	0	0	0	0	0	0	0	0	2.641374	3.7833483	3.5657878	3.600217	4.0583115	3.82926425	0.07943741	0.5377997	0.31290537	0.107028104	0.15921707	0.16645345	0	0	0	0	0	0	0	0	0	0	0	0
S13_bin.85	0.9998982	1.085106	0.9146904	0.43839282	0.47283864	0.50728446	0.15462296	0.24229008	0.24911796	0.118856736	0.21401805	0.23529531	0	0	0	0	0	0	0	0	0	0	0	0	5.1381974	6.5160694	5.8565555	7.372082	5.417437	6.3947595	0.41357186	1.1702919	0.74886316	0.24283992	0.47100067	0.4316394	0	0	0	0	0	0	0	0	0	0	0	0
S11-semi1	0	0	0	0	0	0	0.033638824	0.027705096	0.03419434	0.12443482	0.13097465	0.09218047	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.07316367	0.04736436	0.4633763	0.47647703	0.25508806	0	0	0	0	0	0	0	0	0	0	0	0
S11_bin.90	0	0	0	0	0	0	0.011220584	0.009050433	0.011351313	0.11836066	0.12466961	0.08739735	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.062239684	0.03931259	0.47391608	0.48869762	0.26237255	0	0	0	0	0	0	0	0	0	0	0	0
S13_bin.78	0	0	0	0	0	0	0.033408552	0.028660439	0.03480721	0.12134452	0.12862925	0.091597006	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.046758	0.027994819	0.4589773	0.48522592	0.25792298	0	0	0	0	0	0	0	0	0	0	0	0
S13-semi4	0.06682959	0.08221803	0.05144115	0.04270169	0.04626263	0.04982357	0.04858448	0.041348957	0.050508678	0.12259237	0.13020116	0.0940949	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.025668446	0.06684167	0.042300247	0.4402376	0.46142125	0.24567693	0	0	0	0	0	0	0	0	0	0	0	0
S8_bin.10	0	0	0	0	0	0	0	0	0	0	0	0	0.022736318	0.023466174	0.02398865	0.012880906	0.018722326	0.008179411	0.055598352	0.07447878	0.07131318	0.030507045	0.03271242	0.028552366	0	0	0	0	0	0	0	0	0	0	0	0	0.16640744	0.16326231	0.164834875	0.06407555	0	0	0.19012898	0.41586742	0.19205359	0.1542196	0.10346716	0.023083583
S28-semi30	0	0	0	0	0	0	0	0	0	0	0	0	0.04860897	0.046579972	0.040488653	0.018848035	0.029803623	0.01395321	0.049507458	0.06607362	0.05812779	0.02217226	0.024615942	0.018564953	0	0	0	0	0	0	0	0	0	0	0	0	0.24520895	0.17260912	0.208909035	0.08397761	0	0	0.10422086	0.45231792	0.10480639	0.1335012	0.055930432	0.010379961
S3-semi29	0	0	0	0	0	0	0	0	0	0	0	0	0.02164403	0.022263926	0.02365913	0.01423304	0.019658031	0.008516652	0.050159737	0.06664802	0.060426608	0.021961665	0.022331174	0.024307894	0	0	0	0	0	0	0	0	0	0	0	0	0.10992685	0.11161013	0.11076849	0.056421123	0	0	0.14147653	0.3132148	0.1379131	0.13006552	0.08348644	0.018557345
