Genus	ERR4193365	SRR13727527	SRR11673296	SRR13727521	SRR11673299	SRR13727519	SRR23006903	SRR13727532	SRR20698642	SRR11672838	S37_T10SJ_2	SRR13727523	ERR3719144	SRR23006905	SRR13727529	SRR23617163	SRR23006904	SRR13727526	SRR13727517	SRR7151612	SRR13727525	SRR13727530	SRR13727524	S26_T10Mm_1	SRR13727538	SRR6943129	S27_T10Mm_2	SRR13628065	SRR13727534	SRR13727520	SRR20698644	SRR13727535	SRR12152375	S28_T10Mm_3	ERR4193932	SRR13727528	SRR13727539	SRR13628066	SRR6261451	SRR1505171	SRR13727536	SRR13727540	ERR3719146	SRR13727518	SRR13727522	SRR13727533	S38_T10SJ_3	SRR1505168	SRR1505172	SRR13727537	ERR3719138	SRR23006902	SRR12088346	SRR32314409	SRR13727531
Methylobacter	475346	58868	882254	3716290	3011906	117408	10811578	8145242	333040	586044	13033848	93308	2885230	8820496	31538	1002092	6453332	50468	1074022	25208	5052	147164	25026	7525960	45692	10216	6781920	753226	8878	28623992	7696960	66492	234728	7753326	536688	6454478	12589688	806856	10270	1202326	12120	2057524	2193612	13567492	4450	114552	8480240	851248	1424018	4801070	590682	11560620	14232	6971130	263776
Methylocystis	1486	10922	12180638	2448	79408	10216	1866	1254	10738	7427246	104904	431666	35624	890	2846	61900	180	5496	52112	5756	3496	436	2870	86604	89694	3846	82610	3356	2686	5756	15956	1736	54988	88180	3256	13186	60	3480	3892	508	758	1032	28308	6518	1234	8650	86646	952	64	832	23100	126	238	3210	2620
Methylosinus	380	1892	1072440	310	750770	992	1216	50	2538	7672580	22794	3566	10708	284	1208	18296	104	1064	8710	1584	350	78	666	9486	2012	352	9990	596	1092	200	2044	1290	2874	10096	1352	2184	58	744	358	74	184	166	7054	256	304	2600	20198	30	52	20	8422	1372	368	266	792
Crenothrix	87124	2124	1844	54530	7662	1240	12880	207448	94494	2996	50202	1616	264784	28794	634	24842	46206	568	9834	896	138	3096	412	54470	1406	3102	53996	11502	348	27614	675512	3926	18048	97400	23276	116742	65224	12782	3136	14396	1370	118016	173206	11032	296	502	35086	2044	18544	6481986	49672	11170	1392	39546	4196
Methylomonas	77354	11810	48068	467324	72210	10908	134446	104114	18072	18306	569728	45556	172934	74638	5764	76302	65708	30974	29834	1852	1700	98432	56006	182622	36152	11318	171086	52364	2730	70138	240054	21234	30800	216302	68044	292994	869292	55736	11348	16900	1978	265456	125836	30182	1422	4668	338058	9990	23262	534368	50022	134248	8536	229708	48334
Methylovulum	341152	4544	14422	101312	20380	26910	47960	161514	26028	6168	242046	6840	381828	106612	1298	51574	53220	5074	157234	2546	840	14904	1838	268456	2710	23936	261166	34588	1616	92238	344166	155218	152744	296750	121318	121274	198788	35884	24062	16414	1108	63826	236690	57194	820	1708	167104	8398	19290	921404	89432	52072	8182	178080	602110
Candidatus_Methylomirabilis	9856	115816	27540	638	69912	45976	738	1840	35844	25464	440060	6568	352642	1912	26276	341182	312	17010	22466	13608	9598	978	12084	170540	17018	68818	170102	21250	53170	1638	36160	10600	80904	195250	7906	20256	722	23796	69164	220	65228	1190	177666	11218	890	1658	419348	614	166	4344	146060	812	17960	6994	19470
Methylomicrobium	27944	7320	23810	98184	37828	18402	12582	53140	17608	8684	290724	27056	97440	25028	682	50344	38284	7424	79240	4662	1726	202650	8792	141478	7934	3836	137644	38692	4620	68768	179736	5292	14992	210118	19258	86164	200438	41314	3860	9044	7610	57894	67310	17662	960	1606	185360	3690	9620	106220	27516	13564	15060	69676	41156
Methyloglobulus	11354	2152	4536	85136	7036	3492	7724	32926	3434	1312	45984	2516	1615302	3752	368	12346	18934	2428	15446	606	438	7226	2514	56688	1814	1742	55046	8332	280	10330	86840	2002	14576	80178	13344	77062	158452	8512	1744	4528	188	47842	39750	21650	512	1060	29534	2436	5532	55292	11102	7306	220	18268	9414
Methylocapsa	562	1506	1363342	258	12302	3128	1378	70	1694	741612	65390	1948	14764	460	1488	165630	162	1346	14048	2064	528	168	2030	23408	1988	698	23146	2020	1326	276	2382	292	5304	22652	2242	894	32	2092	696	64	274	126	8216	714	464	11786	58076	46	52	22	7554	206	336	158	1150
Candidatus_Methylumidiphilus	785874	2300	5404	4440	2490	1130	374	1508	51852	2414	15548	1408	40610	2566	354	16118	512	1112	2098	934	566	2742	4272	12776	1156	1568	12012	4340	768	3998	44086	5500	2806	15984	114862	4826	8520	4620	1604	740	362	3094	18494	2240	266	206	9526	300	760	20570	13432	438	146	16474	1286
Methyloprofundus	7704	648	1980	10558	2136	758	2184	10164	5854	1206	26390	1804	146654	19132	2402	9250	36470	330	10314	846	470	6496	590	23886	1140	642	22984	92864	1434	10962	63840	2184	3020	41196	15546	14042	20572	97710	648	616	426	6888	77448	1618	738	534	16622	870	522	51386	28042	2932	7692	12532	1706
