Species	PmoABC	MmoC	MDH	MxaACDJKL	XoxF	MxaF	MxaI	MxaJ	MxaG	FDH	FdsD	FdhDF	Fae	MtdB	Mch	Ftr	FwdABC	CspA	CspB	CspC	Hsp20	Hsp33	Hsp90	HslR	GroEL-ES	HupB	NirBD	NirK	NorW	GSR	CysIJ	TrxABC	SOD12	WrbA	Qor	KdpAD	KdpB	KdpCA	CBM48	GH103	GT28	GT5	GH77	CE1
Methylobacter_sp._TPbin.19	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	0	1	1	1	1	1	1	1	1	0	1	1	1	0.5	1	1	1	1	1	1	1	1	1	1	0
Methylobacter_sp._SJsemi25	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	0	1	1	0	1	1	0	1	0	0	1	1	0.5	1	1	1	1	1	1	1	1	1	1	1	0
Methylobacter_sp._SJbin.85	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	0	1	1	1	1	1	1	1	0	1	1	1	0.5	1	1	1	1	1	1	1	1	1	0	1	0
Methylobacter_sp._SJsemi1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	0	1	1	1	1	1	1	1	0	1	0	1	1	0.5	1	1	1	1	1	1	1	1	1	1	0
Methylobacter_sp._SJbin.90	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	0	1	1	1	1	1	1	1	0	1	0	1	1	0.5	1	1	1	1	1	1	1	1	1	1	0
Methylobacter_sp._SJbin.78	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0.5	1	0	0	1	1	1	1	1	1	1	0	1	0	1	1	0.5	1	1	1	1	1	1	1	1	1	1	0
Methylobacter_sp._SJsemi4	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	0	1	1	1	1	1	1	1	0	1	0	1	0.5	0.5	1	1	1	1	1	1	1	1	1	1	0
Methylobacter_sp._TPbin.10	1	0	1	0.5	1	0	0	0	0	1	1	1	1	1	1	1	0.5	1	0	0	1	1	0	1	1	1	1	0	0	0	1	0.5	0	1	1	0	0	0	1	1	1	1	1	0
Methylobacter_sp._TPsemi30	1	0	1	0.5	1	0	0	0	0	1	1	1	1	1	1	1	1	1	0	0	1	1	1	1	0.5	1	1	0	1	0	0.5	0.5	0.5	0	1	0	0	0	1	1	1	1	1	0
Methylobacter_sp._TPsemi29	1	0	0	0.5	1	0	0	0	0	1	1	1	1	1	0	0	0.5	1	0	0	1	0	1	1	0.5	1	1	0	0	0	1	1	0	1	1	0	0	0	1	1	1	1	1	0
Methylosarcina_sp._TPsemi.19	1	1	1	0	1	0	0	0	0	1	1	1	1	1	1	1	0	1	0	0	1	1	0	1	0.5	1	1	0	0	1	0.5	0.5	1	0	1	1	1	1	1	1	1	1	1	0
Methylosarcina_sp._TPsemi37	1	0	1	0	1	0	0	0	0	1	1	1	1	1	1	1	1	1	0	0	1	0	0	1	0	1	1	0	1	1	0.5	0.5	1	1	1	1	1	1	1	1	1	1	1	0
Methylosarcina_sp._TPsemi.36	1	0	1	0	1	0	0	0	0	1	1	1	1	1	1	0	0	1	0	0	1	0	0	1	0	1	1	0	0	1	0.5	0.5	1	0	0	1	1	1	1	1	1	1	1	0
Methylosarcina_sp._TPsemi36	0	0	1	0	1	0	0	0	0	0	0	1	1	1	1	1	0	1	0	0	1	0	0	0	1	1	1	0	1	0	0.5	0.5	1	0	1	1	1	1	1	1	1	1	1	0
Methylosarcina_sp._TPbin.38	1	0	0	0	1	0	0	0	0	1	0	1	1	1	1	0	0	1	0	0	1	0	1	1	1	1	1	0	1	0	0.5	0.5	1	1	1	0	0	0	1	1	1	1	1	0
Methylosarcina_sp._TPsemi44	1	0	1	0	1	0	0	0	0	1	1	1	1	1	1	0	0	1	0	0	1	1	0	1	1	1	0	0	1	0	0.5	0.5	1	1	1	1	1	1	1	1	1	1	1	0
Methylomagnum_sp._TPbin.39	1	1	0	0.5	1	0	0	0	0	0	1	1	1	1	1	1	1	0	0	0	1	1	1	1	1	1	0.5	0	0	0	1	0.5	1	1	1	1	1	1	1	1	1	1	1	0
Methylomagnum_sp._TPsemi7	1	1	1	0.5	1	0	0	0	0	0	1	1	1	1	1	1	0.5	0	0	0	1	1	1	1	1	1	0.5	0	0	0	1	1	0.5	1	1	1	1	1	1	1	1	1	1	0
Methylomagnum_sp._TPbin.13	1	1	1	0.5	1	0	1	1	1	0	1	1	0	0	1	1	1	0	0	0	1	1	1	1	1	1	0.5	0	0	0	1	0.5	0.5	1	1	1	1	1	1	1	1	1	1	0
Methylomagnum_sp._TPsemi17	1	1	1	0.5	1	0	1	1	1	0	1	1	1	1	1	0	0.5	0	0	0	1	1	1	1	1	1	0.5	0	0	0	1	0.5	1	1	1	1	1	1	1	1	1	1	1	0
Methylomagnum_sp._TPbin.41	1	1	1	0.5	1	0	0	0	0	0	1	1	1	1	1	1	1	0	0	0	1	1	1	1	1	1	0.5	0	0	0	1	1	0.5	1	1	1	1	1	1	1	1	1	1	0
Methylomagnum_sp._TPsemi15	1	1	1	0.5	1	1	1	1	1	0	1	1	1	1	1	1	1	0	0	0	1	1	1	1	1	1	0.5	0	0	0	1	0.5	0.5	1	1	1	1	1	1	1	1	1	1	1
