	S1	S2	S3	S4	S5	S6	S7	S8	S9	S10	S11	S12	S13	S14	S15	S16	S17	S18	S19	S20	S21	S22	S23	S24	S25	S26	S27	S28	S29	S30
S1	100	86.88	87.07	80.62	80.48	80.68	81.08	77.37	78.07	77.62	72.45	72.67	73.25	72.85	73.18	72.78	59.83	59.81	59.67	59.65	59.79	59.65	46.72	52.56	52.55	53.12	53.59	76.65	76.99	77.94
S2	84.46	100	97.68	78.38	77.95	78.55	79.58	75.56	76	75.38	72.63	72.65	72.48	72.59	72.27	72.46	66.19	66.19	66.14	66.13	66.18	66.17	62.4	63.61	63.59	63.98	53	74.38	74.41	74.93
S3	84.29	98	100	78.43	78.03	77.81	79.6	76	76	76	71.41	71.89	72.08	72.13	72.09	72	66.27	66.26	66.2	66.22	66.21	66.2	62	63.73	63.6	63.77	53	74.42	74.5	75.13
S4	78	78.38	78.43	100	99.3	99.85	99.01	73.03	73.54	72.99	72.27	72.37	72.5	72.34	72.04	72.37	66.87	66.87	66.87	66.84	66.89	66.85	62.62	63.05	62.92	63.79	53	72.69	72.8	73.07
S5	77.73	77.95	78.03	100	100	99.88	99.43	72.96	73.45	72.93	72.29	72.34	72.48	72.32	71.92	72.36	66.88	66.88	66.88	66.86	66.89	66.84	62.6	63.1	62.97	63.79	53	72.66	72.72	73.07
S6	78.11	78.55	77.81	98.79	98.63	100	99.57	73.05	73.44	73.01	72.37	72.43	72.52	72.4	72	72.43	66.96	66.94	66.96	66.91	66.98	66.94	62.53	63.15	63.04	63.84	53	72.79	72.83	73.25
S7	78.48	79.58	79.6	99.83	99.87	100	100	73.26	73.51	73.1	72.42	72.44	72.53	72.42	72	72.46	66.89	66.86	66.87	66.85	66.91	66.85	62.51	63.2	63.09	63.8	53	72.77	72.82	73.25
S8	76.35	76	76	73.03	72.96	73.05	73.26	100	76	76	84.4	83.56	85.15	74.04	74.35	83.89	65.38	65.38	65.31	65.33	65.35	65.35	62	63.92	63.84	64.03	54	75.47	74.94	75.45
S9	76.98	76	76.48	73.54	73.45	73.44	73.51	98.56	100	98.59	72.89	72.73	72.87	72.85	74.18	73.11	65.39	65.35	65.23	65.29	65.27	65.27	61.87	63.92	63.83	64	54	75.37	75.18	75.48
S10	76.37	75.38	75.75	72.99	72.93	73.01	73.1	98.82	98.59	100	72.87	72.64	72.75	72.89	74.24	73.13	65.23	65.26	65.15	65.22	65.18	65.19	61.95	63.85	63.8	63.8	53	75.16	75.09	75.45
S11	72.87	72.63	72.39	72.27	72.29	72.37	72.42	73.17	72.89	72.87	100	98.32	98.64	98.64	99.02	98.39	67.03	67.07	66.98	66.97	66.99	67.16	62.7	62.97	62.93	63.54	64	72.08	72.03	72.17
S12	72.85	72.65	72.61	72.37	72.34	72.43	72.44	72.82	72.73	72.64	98.32	100	98.68	98.72	98.81	98.63	66.87	66.87	66.8	66.77	66.87	66.88	62.73	63	62.93	63.48	64	72.06	72.02	72.2
S13	72.87	72.48	72.73	72.5	72.48	72.52	72.53	72.84	72.87	72.75	98.64	98.68	100	98.83	99.97	98.51	66.83	66.86	66.78	66.81	66.87	66.83	62.6	63.07	63.04	63.45	64	72.12	72.1	72.27
S14	72.85	72.59	72.63	72.34	72.32	72.4	72.42	73.18	72.85	72.89	98.64	98.72	98.83	100	98.87	98.75	66.9	66.9	66.82	66.85	66.87	66.86	62.72	63.28	63.28	63.66	64	72.22	72.17	72.39
S15	72.89	72.72	72.72	72.47	72.43	72.49	72.52	73.03	72.92	72.88	98.81	98.76	99.86	98.91	100	98.69	66.85	66.89	66.81	66.78	66.84	66.93	62.3	63.11	63.05	63.48	64.01	72.28	72.24	72.34
S16	72.86	72.46	72.26	72.37	72.36	72.43	72.46	73.3	73.11	73.13	98.39	98.63	98.51	98.75	98.94	100	67.01	67.02	66.91	66.94	67.01	66.96	62.74	63.36	63.32	63.73	64	72.18	72.07	72.25
S17	66.53	66.19	66.27	59.62	59.7	59.7	59.8	65.38	65.39	65.23	67.03	66.87	66.83	66.9	59.68	67.01	100	99.98	99.65	99.72	99.51	99.6	64.24	62.28	62.36	63.07	64	65.52	65.45	65.59
S18	66.5	66.19	66.26	59.61	59.69	59.71	59.76	65.38	65.35	65.26	67.07	66.87	66.86	66.9	59.74	67.02	99.7	100	99.68	99.75	99.38	99.6	64.22	62.31	62.39	63.04	64	65.46	65.38	65.52
S19	66.44	66.14	66.2	59.53	59.58	59.62	59.69	65.31	65.23	65.15	66.98	66.8	66.78	66.82	59.84	66.91	99.44	99.51	100	99.89	99.58	99.67	63.98	62.32	62.35	62.98	64	65.48	65.41	65.56
S20	66.45	66.13	66.22	59.49	59.53	59.51	59.63	65.33	65.29	65.22	66.97	66.77	66.81	66.85	59.74	66.94	99.29	99.52	100	100	99.39	99.67	64.09	62.3	62.33	63.06	64	65.45	65.38	65.54
S21	66.47	66.18	66.21	59.7	59.74	59.74	59.79	65.35	65.27	65.18	66.99	66.87	66.87	66.87	59.81	67.01	99.74	99.75	99.76	99.75	100	99.93	64.12	62.38	62.46	63.11	65	65.49	65.4	65.59
S22	66.48	66.17	66.2	59.53	59.58	59.61	59.64	65.35	65.27	65.19	67.16	66.88	66.83	66.86	59.97	66.96	99.76	99.79	99.76	99.72	99.97	100	64.1	62.32	62.39	63.04	63	65.46	65.37	65.53
S23	62.53	62.4	62.4	62.62	62.6	62.53	62.51	62.25	61.87	61.95	62.7	62.73	62.6	62.72	46.67	62.74	64.24	64.22	63.98	64.09	64.12	64.1	100	61.68	61.65	61.56	62	61.67	61.64	61.53
S24	63.84	63.61	63.73	52.6	52.54	52.63	52.72	63.92	63.92	63.85	62.97	63	63.07	63.28	52.45	63.36	52.56	52.59	52.55	52.61	52.76	52.72	61.68	100	99.76	71.05	69	63.75	63.78	64.01
S25	63.74	63.59	63.6	52.49	52.41	52.53	52.6	63.84	63.83	63.8	62.93	62.93	63.04	63.28	52.56	63.32	52.63	52.68	52.67	52.71	52.83	52.8	61.65	100	100	71	69	63.8	63.83	64.06
S26	64.09	63.98	63.77	53.21	53.13	53.08	52.99	64.03	64	63.8	63.54	63.48	63.45	63.66	52.59	63.73	53.14	53.15	53.08	53.09	53.26	53.19	61.56	72.12	72.14	100	71	64.16	64.16	64.29
S27	64.5	63	63	64	64	64	64	63	63	63	54	53	53	54	53.54	54	54	54	54	54	54	54	47	68	68	70	100	63	63	63
S28	75.4	74.38	74.42	73.91	73.82	73.77	74.05	75.47	75.37	75.16	72.08	72.06	72.12	72.22	73.26	72.18	59.82	59.89	59.69	59.71	59.89	59.8	61.67	53.41	53.48	53.7	54	100	99.07	96.91
S29	75.47	74.41	74.5	74.14	74	73.97	74.28	74.94	75.18	75.09	72.03	72.02	72.1	72.17	73.12	72.07	59.81	59.83	59.74	59.74	59.89	59.8	61.64	53.53	53.58	53.6	54	99.98	100	97.19
S30	76.29	74.93	75.13	74.5	74.38	74.4	74.66	75.45	75.48	75.45	72.17	72.2	72.27	72.39	73.5	72.25	59.87	59.91	60.01	60.01	59.96	59.9	61.53	53.46	53.56	53.69	54	98.19	98.32	100
