Sample	pmoA	pmoB	pmoC	MmoC	MDH	mxaA	mxaC	mxaD	mxaJ	mxaK	mxaL	xoxF	mxaF	MxaI	MxaJ	MxaG	FDH	FdsD	fdhD	fdhF	fae	MtdB	Mch	Ftr	fwdA	fwdB	fwdC	CspA	CspB	CspC	Hsp20	Hsp33	groEL	groES	dnaK	htpX	yesN	rsaA	bapA	ftsH	HupB	GSR	CysI	cysJ	trxA	trxB	trxC	SOD1	SOD2	WrbA	Qor	nirB	nirD	NirK	glnA	gltB	gdhA	PYG	glgC	treZ	treT	thuE	thuG	lpp	ClpA	ClpS	envC	pilA	lon	nadA	tuf
GCA_021736725.1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	0	1	1	1	1	1	1	0	0	0	1	1	0	1	0	1	0	1	0	1	1	1	1	1	1	1	0	0	1	1	0	0	0	0	1	1	1	1	0	1	1	0
GCA_023227865.1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	0	1	1	1	1	1	1	0	0	0	1	1	0	1	0	1	0	1	0	1	1	1	1	1	1	1	0	0	1	1	0	0	0	0	1	1	1	1	1	1	1	0
GCA_030699385.1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	0	1	1	1	1	1	1	0	0	0	1	1	1	1	0	1	0	0	0	1	1	1	1	1	0	1	0	0	1	1	0	0	0	0	1	1	1	1	1	1	1	1
GCA_030683935.1	1	1	1	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	1	0	0	0	0	1	1	1	0	0	0	0	1	1	0	1	0	1	0	0	0	1	1	1	0	1	0	1	0	0	1	1	0	0	0	0	1	1	1	1	0	1	1	1
GCA_030653835.1	0	0	0	0	1	1	0	1	1	1	1	1	0	1	1	1	1	1	1	0	1	1	1	0	1	1	1	1	0	0	1	1	0	1	1	1	0	0	0	1	1	1	1	0	0	0	0	0	1	1	1	1	1	0	0	0	0	1	1	0	0	0	0	0	1	1	1	1	1	1	1
GCA_034371145.1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	0	1	1	1	1	1	1	0	0	0	1	1	1	1	0	1	0	0	0	1	1	1	1	1	0	1	0	0	1	1	0	0	0	0	1	1	1	1	1	1	1	1
GCA_030694825.1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	0	1	1	1	1	1	1	0	0	0	1	1	1	1	0	1	0	0	0	1	1	1	1	1	0	1	0	0	1	1	0	0	0	0	1	1	1	1	1	1	1	1
GCA_030693215.1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	0	1	1	1	1	1	1	0	0	0	1	1	1	1	0	1	0	0	0	1	1	1	1	1	0	1	0	0	1	1	0	0	0	0	1	1	1	1	1	1	1	0
GCA_030684815.1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	0	1	1	1	1	1	1	0	0	0	1	1	1	1	0	1	0	0	0	1	1	1	1	1	0	1	0	0	1	1	0	0	0	0	1	1	1	1	1	1	1	1
GCA_026398995.1	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	1	1	1	0	1	1	1	0	1	1	1	1	0	0	1	1	0	1	0	1	0	0	0	1	1	0	1	1	1	1	0	0	1	0	0	1	1	1	1	0	0	1	1	0	0	0	0	1	1	1	1	1	1	1	1
